id,topic,difficulty,pdf_path,test_case_1,test_case_2,test_case_3,,,,,
367,Constructive Algorithms,Medium,challenges/an-interesting-game-1/an-interesting-game-1.pdf,challenges/an-interesting-game-1/input/input00.txt : challenges/an-interesting-game-1/output/output00.txt , challenges/an-interesting-game-1/input/input21.txt : challenges/an-interesting-game-1/output/output21.txt,,,,,,
368,Constructive Algorithms,Medium,challenges/new-year-chaos/new-year-chaos.pdf,challenges/new-year-chaos/input/input00.txt : challenges/new-year-chaos/output/output00.txt , challenges/new-year-chaos/input/input01.txt : challenges/new-year-chaos/output/output01.txt , challenges/new-year-chaos/input/input11.txt : challenges/new-year-chaos/output/output11.txt,,,,,
369,Dynamic Programming,Medium,challenges/construct-the-array/construct-the-array.pdf,challenges/construct-the-array/input/input00.txt : challenges/construct-the-array/output/output00.txt,,,,,,,
370,Constructive Algorithms,Medium,challenges/bonetrousle/bonetrousle.pdf,challenges/bonetrousle/input/input00.txt : challenges/bonetrousle/output/output00.txt , challenges/bonetrousle/input/input14.txt : challenges/bonetrousle/output/output14.txt,,,,,,
371,Dynamic Programming,Medium,challenges/kingdom-division/kingdom-division.pdf,challenges/kingdom-division/input/input00.txt : challenges/kingdom-division/output/output00.txt , challenges/kingdom-division/input/input31.txt : challenges/kingdom-division/output/output31.txt,,,,,,
372,Constructive Algorithms,Hard,challenges/kmp-problem/kmp-problem.pdf,challenges/kmp-problem/input/input00.txt : challenges/kmp-problem/output/output00.txt,,,,,,,
373,Dynamic Programming,Medium,challenges/sam-and-substrings/sam-and-substrings.pdf,challenges/sam-and-substrings/input/input00.txt : challenges/sam-and-substrings/output/output00.txt , challenges/sam-and-substrings/input/input12.txt : challenges/sam-and-substrings/output/output12.txt,,,,,,
374,Constructive Algorithms,Hard,challenges/beautiful-3-set/beautiful-3-set.pdf,challenges/beautiful-3-set/input/input00.txt : challenges/beautiful-3-set/output/output00.txt,,,,,,,
375,Dynamic Programming,Medium,challenges/fibonacci-modified/fibonacci-modified.pdf,challenges/fibonacci-modified/input/input00.txt : challenges/fibonacci-modified/output/output00.txt , challenges/fibonacci-modified/input/input01.txt : challenges/fibonacci-modified/output/output01.txt,,,,,,
376,Constructive Algorithms,Hard,challenges/inverse-rmq/inverse-rmq.pdf,challenges/inverse-rmq/input/input00.txt : challenges/inverse-rmq/output/output00.txt , challenges/inverse-rmq/input/input01.txt : challenges/inverse-rmq/output/output01.txt,,,,,,
377,Dynamic Programming,Medium,challenges/abbr/abbr.pdf,challenges/abbr/input/input00.txt : challenges/abbr/output/output00.txt , challenges/abbr/input/input01.txt : challenges/abbr/output/output01.txt , challenges/abbr/input/input15.txt : challenges/abbr/output/output15.txt,,,,,
378,Constructive Algorithms,Expert,challenges/two-subarrays/two-subarrays.pdf,challenges/two-subarrays/input/input15.txt : challenges/two-subarrays/output/output15.txt,,,,,,,
379,Dynamic Programming,Medium,challenges/prime-xor/prime-xor.pdf,challenges/prime-xor/input/input00.txt : challenges/prime-xor/output/output00.txt,,,,,,,
380,Constructive Algorithms,Advanced,challenges/lovely-triplets/lovely-triplets.pdf,challenges/lovely-triplets/input/input00.txt : challenges/lovely-triplets/output/output00.txt,,,,,,,
381,Constructive Algorithms,Advanced,challenges/array-construction/array-construction.pdf,challenges/array-construction/input/input00.txt : challenges/array-construction/output/output00.txt , challenges/array-construction/input/input01.txt : challenges/array-construction/output/output01.txt,,,,,,
382,Dynamic Programming,Hard,challenges/decibinary-numbers/decibinary-numbers.pdf,challenges/decibinary-numbers/input/input00.txt : challenges/decibinary-numbers/output/output00.txt , challenges/decibinary-numbers/input/input09.txt : challenges/decibinary-numbers/output/output09.txt , challenges/decibinary-numbers/input/input10.txt : challenges/decibinary-numbers/output/output10.txt,,,,,
383,Dynamic Programming,Medium,challenges/fair-cut/fair-cut.pdf,challenges/fair-cut/input/input00.txt : challenges/fair-cut/output/output00.txt , challenges/fair-cut/input/input01.txt : challenges/fair-cut/output/output01.txt,,,,,,
384,Dynamic Programming,Medium,challenges/maxsubarray/maxsubarray.pdf,challenges/maxsubarray/input/input03.txt : challenges/maxsubarray/output/output03.txt , challenges/maxsubarray/input/input04.txt : challenges/maxsubarray/output/output04.txt,,,,,,
385,Dynamic Programming,Hard,challenges/angry-children-2/angry-children-2.pdf,challenges/angry-children-2/input/input00.txt : challenges/angry-children-2/output/output00.txt , challenges/angry-children-2/input/input01.txt : challenges/angry-children-2/output/output01.txt,,,,,,
386,Dynamic Programming,Hard,challenges/sherlocks-array-merging-algorithm/sherlocks-array-merging-algorithm.pdf,challenges/sherlocks-array-merging-algorithm/input/input00.txt : challenges/sherlocks-array-merging-algorithm/output/output00.txt , challenges/sherlocks-array-merging-algorithm/input/input01.txt : challenges/sherlocks-array-merging-algorithm/output/output01.txt,,,,,,
387,Dynamic Programming,Medium,challenges/prime-digit-sums/prime-digit-sums.pdf,challenges/prime-digit-sums/input/input00.txt : challenges/prime-digit-sums/output/output00.txt,,,,,,,
388,Dynamic Programming,Medium,challenges/hr-city/hr-city.pdf,challenges/hr-city/input/input00.txt : challenges/hr-city/output/output00.txt , challenges/hr-city/input/input01.txt : challenges/hr-city/output/output01.txt,,,,,,
389,Dynamic Programming,Medium,challenges/summing-pieces/summing-pieces.pdf,challenges/summing-pieces/input/input00.txt : challenges/summing-pieces/output/output00.txt , challenges/summing-pieces/input/input01.txt : challenges/summing-pieces/output/output01.txt,,,,,,
390,Dynamic Programming,Medium,challenges/mr-k-marsh/mr-k-marsh.pdf,challenges/mr-k-marsh/input/input16.txt : challenges/mr-k-marsh/output/output16.txt , challenges/mr-k-marsh/input/input17.txt : challenges/mr-k-marsh/output/output17.txt,,,,,,
391,Dynamic Programming,Medium,challenges/substring-diff/substring-diff.pdf,challenges/substring-diff/input/input00.txt : challenges/substring-diff/output/output00.txt , challenges/substring-diff/input/input01.txt : challenges/substring-diff/output/output01.txt,,,,,,
392,Dynamic Programming,Medium,challenges/xor-and-sum/xor-and-sum.pdf,challenges/xor-and-sum/input/input00.txt : challenges/xor-and-sum/output/output00.txt,,,,,,,
393,Dynamic Programming,Medium,challenges/lego-blocks/lego-blocks.pdf,challenges/lego-blocks/input/input00.txt : challenges/lego-blocks/output/output00.txt , challenges/lego-blocks/input/input10.txt : challenges/lego-blocks/output/output10.txt,,,,,,
394,Dynamic Programming,Hard,challenges/brick-tiling/brick-tiling.pdf,challenges/brick-tiling/input/input00.txt : challenges/brick-tiling/output/output00.txt,,,,,,,
395,Dynamic Programming,Hard,challenges/alien-languages/alien-languages.pdf,challenges/alien-languages/input/input00.txt : challenges/alien-languages/output/output00.txt,,,,,,,
396,Dynamic Programming,Medium,challenges/stockmax/stockmax.pdf,challenges/stockmax/input/input10.txt : challenges/stockmax/output/output10.txt , challenges/stockmax/input/input11.txt : challenges/stockmax/output/output11.txt,,,,,,
397,Dynamic Programming,Medium,challenges/two-robots/two-robots.pdf,challenges/two-robots/input/input00.txt : challenges/two-robots/output/output00.txt,,,,,,,
398,Dynamic Programming,Medium,challenges/cuttree/cuttree.pdf,challenges/cuttree/input/input00.txt : challenges/cuttree/output/output00.txt,,,,,,,
399,Dynamic Programming,Hard,challenges/taras-beautiful-permutations/taras-beautiful-permutations.pdf,challenges/taras-beautiful-permutations/input/input00.txt : challenges/taras-beautiful-permutations/output/output00.txt,,,,,,,
400,Dynamic Programming,Medium,challenges/wet-shark-and-two-subsequences/wet-shark-and-two-subsequences.pdf,challenges/wet-shark-and-two-subsequences/input/input00.txt : challenges/wet-shark-and-two-subsequences/output/output00.txt,,,,,,,
401,Dynamic Programming,Medium,challenges/array-splitting/array-splitting.pdf,challenges/array-splitting/input/input00.txt : challenges/array-splitting/output/output00.txt , challenges/array-splitting/input/input11.txt : challenges/array-splitting/output/output11.txt,,,,,,
402,Dynamic Programming,Hard,challenges/choosing-white-balls/choosing-white-balls.pdf,challenges/choosing-white-balls/input/input00.txt : challenges/choosing-white-balls/output/output00.txt , challenges/choosing-white-balls/input/input01.txt : challenges/choosing-white-balls/output/output01.txt,,,,,,
403,Dynamic Programming,Medium,challenges/mandragora/mandragora.pdf,challenges/mandragora/input/input00.txt : challenges/mandragora/output/output00.txt , challenges/mandragora/input/input05.txt : challenges/mandragora/output/output05.txt , challenges/mandragora/input/input06.txt : challenges/mandragora/output/output06.txt,,,,,
404,Dynamic Programming,Medium,challenges/red-john-is-back/red-john-is-back.pdf,challenges/red-john-is-back/input/input00.txt : challenges/red-john-is-back/output/output00.txt , challenges/red-john-is-back/input/input12.txt : challenges/red-john-is-back/output/output12.txt,,,,,,
405,Dynamic Programming,Medium,challenges/tutzki-and-lcs/tutzki-and-lcs.pdf,challenges/tutzki-and-lcs/input/input00.txt : challenges/tutzki-and-lcs/output/output00.txt,,,,,,,
406,Dynamic Programming,Medium,challenges/grid-walking/grid-walking.pdf,challenges/grid-walking/input/input11.txt : challenges/grid-walking/output/output11.txt , challenges/grid-walking/input/input12.txt : challenges/grid-walking/output/output12.txt,,,,,,
407,Dynamic Programming,Hard,challenges/matrix-land/matrix-land.pdf,challenges/matrix-land/input/input00.txt : challenges/matrix-land/output/output00.txt,,,,,,,
408,Dynamic Programming,Medium,challenges/unbounded-knapsack/unbounded-knapsack.pdf,challenges/unbounded-knapsack/input/input00.txt : challenges/unbounded-knapsack/output/output00.txt , challenges/unbounded-knapsack/input/input11.txt : challenges/unbounded-knapsack/output/output11.txt,,,,,,
409,Dynamic Programming,Medium,challenges/play-game/play-game.pdf,challenges/play-game/input/input00.txt : challenges/play-game/output/output00.txt , challenges/play-game/input/input14.txt : challenges/play-game/output/output14.txt,,,,,,
410,Dynamic Programming,Advanced,challenges/longest-increasing-subsequent/longest-increasing-subsequent.pdf,challenges/longest-increasing-subsequent/input/input00.txt : challenges/longest-increasing-subsequent/output/output00.txt , challenges/longest-increasing-subsequent/input/input10.txt : challenges/longest-increasing-subsequent/output/output10.txt,,,,,,
411,Dynamic Programming,Medium,challenges/coin-on-the-table/coin-on-the-table.pdf,challenges/coin-on-the-table/input/input00.txt : challenges/coin-on-the-table/output/output00.txt , challenges/coin-on-the-table/input/input01.txt : challenges/coin-on-the-table/output/output01.txt,,,,,,
412,Dynamic Programming,Medium,challenges/dynamic-programming-classics-the-longest-common-subsequence/dynamic-programming-classics-the-longest-common-subsequence.pdf,challenges/dynamic-programming-classics-the-longest-common-subsequence/input/input00.txt : challenges/dynamic-programming-classics-the-longest-common-subsequence/output/output00.txt , challenges/dynamic-programming-classics-the-longest-common-subsequence/input/input01.txt : challenges/dynamic-programming-classics-the-longest-common-subsequence/output/output01.txt,,,,,,
413,Dynamic Programming,Medium,challenges/strplay/strplay.pdf,challenges/strplay/input/input00.txt : challenges/strplay/output/output00.txt,,,,,,,
414,Dynamic Programming,Medium,challenges/counting-special-sub-cubes/counting-special-sub-cubes.pdf,challenges/counting-special-sub-cubes/input/input00.txt : challenges/counting-special-sub-cubes/output/output00.txt , challenges/counting-special-sub-cubes/input/input01.txt : challenges/counting-special-sub-cubes/output/output01.txt , challenges/counting-special-sub-cubes/input/input02.txt : challenges/counting-special-sub-cubes/output/output02.txt,,,,,
415,Dynamic Programming,Medium,challenges/interval-selection/interval-selection.pdf,challenges/interval-selection/input/input00.txt : challenges/interval-selection/output/output00.txt,,,,,,,
416,Dynamic Programming,Hard,challenges/string-reduction/string-reduction.pdf,challenges/string-reduction/input/input00.txt : challenges/string-reduction/output/output00.txt , challenges/string-reduction/input/input10.txt : challenges/string-reduction/output/output10.txt,,,,,,
417,Dynamic Programming,Hard,challenges/far-vertices/far-vertices.pdf,challenges/far-vertices/input/input00.txt : challenges/far-vertices/output/output00.txt , challenges/far-vertices/input/input01.txt : challenges/far-vertices/output/output01.txt,,,,,,
418,Dynamic Programming,Expert,challenges/counting-road-networks/counting-road-networks.pdf,challenges/counting-road-networks/input/input00.txt : challenges/counting-road-networks/output/output00.txt,,,,,,,
419,Dynamic Programming,Hard,challenges/superman-celebrates-diwali/superman-celebrates-diwali.pdf,challenges/superman-celebrates-diwali/input/input00.txt : challenges/superman-celebrates-diwali/output/output00.txt,,,,,,,
420,Dynamic Programming,Hard,challenges/hexagonal-grid/hexagonal-grid.pdf,challenges/hexagonal-grid/input/input15.txt : challenges/hexagonal-grid/output/output15.txt,,,,,,,
421,Dynamic Programming,Hard,challenges/queens-on-board/queens-on-board.pdf,challenges/queens-on-board/input/input00.txt : challenges/queens-on-board/output/output00.txt,,,,,,,
422,Dynamic Programming,Advanced,challenges/shashank-and-palindromic-strings/shashank-and-palindromic-strings.pdf,challenges/shashank-and-palindromic-strings/input/input00.txt : challenges/shashank-and-palindromic-strings/output/output00.txt,,,,,,,
423,Dynamic Programming,Advanced,challenges/points-in-a-plane/points-in-a-plane.pdf,challenges/points-in-a-plane/input/input00.txt : challenges/points-in-a-plane/output/output00.txt,,,,,,,
424,Dynamic Programming,Hard,challenges/turn-off-the-lights/turn-off-the-lights.pdf,challenges/turn-off-the-lights/input/input12.txt : challenges/turn-off-the-lights/output/output12.txt,,,,,,,
425,Dynamic Programming,Hard,challenges/animal-transport/animal-transport.pdf,challenges/animal-transport/input/input00.txt : challenges/animal-transport/output/output00.txt,,,,,,,
426,Dynamic Programming,Medium,challenges/the-indian-job/the-indian-job.pdf,challenges/the-indian-job/input/input00.txt : challenges/the-indian-job/output/output00.txt,,,,,,,
427,Dynamic Programming,Advanced,challenges/requirement/requirement.pdf,challenges/requirement/input/input00.txt : challenges/requirement/output/output00.txt,,,,,,,
428,Dynamic Programming,Hard,challenges/a-super-hero/a-super-hero.pdf,challenges/a-super-hero/input/input18.txt : challenges/a-super-hero/output/output18.txt,,,,,,,
429,Dynamic Programming,Hard,challenges/clues-on-a-binary-path/clues-on-a-binary-path.pdf,challenges/clues-on-a-binary-path/input/input22.txt : challenges/clues-on-a-binary-path/output/output22.txt,,,,,,,
430,Dynamic Programming,Advanced,challenges/billboards/billboards.pdf,challenges/billboards/input/input00.txt : challenges/billboards/output/output00.txt , challenges/billboards/input/input01.txt : challenges/billboards/output/output01.txt,,,,,,
431,Dynamic Programming,Hard,challenges/beautiful-string/beautiful-string.pdf,challenges/beautiful-string/input/input00.txt : challenges/beautiful-string/output/output00.txt,,,,,,,
432,Dynamic Programming,Hard,challenges/covering-the-stains/covering-the-stains.pdf,challenges/covering-the-stains/input/input21.txt : challenges/covering-the-stains/output/output21.txt,,,,,,,
433,Dynamic Programming,Hard,challenges/gcd-matrix/gcd-matrix.pdf,challenges/gcd-matrix/input/input00.txt : challenges/gcd-matrix/output/output00.txt,,,,,,,
434,Dynamic Programming,Advanced,challenges/fairy-chess/fairy-chess.pdf,challenges/fairy-chess/input/input00.txt : challenges/fairy-chess/output/output00.txt,,,,,,,
435,Dynamic Programming,Expert,challenges/suffix-rotation/suffix-rotation.pdf,challenges/suffix-rotation/input/input00.txt : challenges/suffix-rotation/output/output00.txt,,,,,,,
436,Dynamic Programming,Hard,challenges/newyear-present/newyear-present.pdf,challenges/newyear-present/input/input00.txt : challenges/newyear-present/output/output00.txt , challenges/newyear-present/input/input01.txt : challenges/newyear-present/output/output01.txt,,,,,,
437,Dynamic Programming,Medium,challenges/travel-around-the-world/travel-around-the-world.pdf,challenges/travel-around-the-world/input/input10.txt : challenges/travel-around-the-world/output/output10.txt , challenges/travel-around-the-world/input/input11.txt : challenges/travel-around-the-world/output/output11.txt , challenges/travel-around-the-world/input/input12.txt : challenges/travel-around-the-world/output/output12.txt,,,,,
438,Dynamic Programming,Hard,challenges/longest-palindromic-subsequence/longest-palindromic-subsequence.pdf,challenges/longest-palindromic-subsequence/input/input00.txt : challenges/longest-palindromic-subsequence/output/output00.txt,,,,,,,
439,Dynamic Programming,Medium,challenges/candles-2/candles-2.pdf,challenges/candles-2/input/input00.txt : challenges/candles-2/output/output00.txt,,,,,,,
440,Dynamic Programming,Advanced,challenges/hyper-strings/hyper-strings.pdf,challenges/hyper-strings/input/input00.txt : challenges/hyper-strings/output/output00.txt,,,,,,,
441,Dynamic Programming,Medium,challenges/swappermutation/swappermutation.pdf,challenges/swappermutation/input/input00.txt : challenges/swappermutation/output/output00.txt,,,,,,,
442,Dynamic Programming,Medium,challenges/extremum-permutations/extremum-permutations.pdf,challenges/extremum-permutations/input/input20.txt : challenges/extremum-permutations/output/output20.txt , challenges/extremum-permutations/input/input21.txt : challenges/extremum-permutations/output/output21.txt,,,,,,
443,Dynamic Programming,Hard,challenges/square-subsequences/square-subsequences.pdf,challenges/square-subsequences/input/input00.txt : challenges/square-subsequences/output/output00.txt,,,,,,,
444,Dynamic Programming,Advanced,challenges/dorsey-thief/dorsey-thief.pdf,challenges/dorsey-thief/input/input27.txt : challenges/dorsey-thief/output/output27.txt , challenges/dorsey-thief/input/input28.txt : challenges/dorsey-thief/output/output28.txt,,,,,,
445,Dynamic Programming,Advanced,challenges/mining/mining.pdf,challenges/mining/input/input00.txt : challenges/mining/output/output00.txt , challenges/mining/input/input01.txt : challenges/mining/output/output01.txt , challenges/mining/input/input02.txt : challenges/mining/output/output02.txt,,,,,
446,Dynamic Programming,Hard,challenges/police-operation/police-operation.pdf,challenges/police-operation/input/input00.txt : challenges/police-operation/output/output00.txt,,,,,,,
447,Dynamic Programming,Hard,challenges/zurikela/zurikela.pdf,challenges/zurikela/input/input00.txt : challenges/zurikela/output/output00.txt,,,,,,,
448,Dynamic Programming,Advanced,challenges/modify-the-sequence/modify-the-sequence.pdf,challenges/modify-the-sequence/input/input20.txt : challenges/modify-the-sequence/output/output20.txt,,,,,,,
449,Dynamic Programming,Hard,challenges/longest-mod-path/longest-mod-path.pdf,challenges/longest-mod-path/input/input00.txt : challenges/longest-mod-path/output/output00.txt,,,,,,,
450,Dynamic Programming,Hard,challenges/p-sequences/p-sequences.pdf,challenges/p-sequences/input/input19.txt : challenges/p-sequences/output/output19.txt,,,,,,,
451,Dynamic Programming,Advanced,challenges/robot/robot.pdf,challenges/robot/input/input00.txt : challenges/robot/output/output00.txt,,,,,,,
452,Dynamic Programming,Expert,challenges/lucky-numbers/lucky-numbers.pdf,challenges/lucky-numbers/input/input00.txt : challenges/lucky-numbers/output/output00.txt , challenges/lucky-numbers/input/input09.txt : challenges/lucky-numbers/output/output09.txt,,,,,,
453,Dynamic Programming,Advanced,challenges/unfair-game/unfair-game.pdf,challenges/unfair-game/input/input00.txt : challenges/unfair-game/output/output00.txt,,,,,,,
454,Dynamic Programming,Hard,challenges/oil-well/oil-well.pdf,challenges/oil-well/input/input00.txt : challenges/oil-well/output/output00.txt,,,,,,,
455,Dynamic Programming,Advanced,challenges/find-the-seed/find-the-seed.pdf,challenges/find-the-seed/input/input11.txt : challenges/find-the-seed/output/output11.txt,,,,,,,
456,Dynamic Programming,Advanced,challenges/the-blacklist/the-blacklist.pdf,challenges/the-blacklist/input/input00.txt : challenges/the-blacklist/output/output00.txt,,,,,,,
457,Dynamic Programming,Advanced,challenges/tree-pruning/tree-pruning.pdf,challenges/tree-pruning/input/input10.txt : challenges/tree-pruning/output/output10.txt,,,,,,,
458,Dynamic Programming,Hard,challenges/ones-and-twos/ones-and-twos.pdf,challenges/ones-and-twos/input/input00.txt : challenges/ones-and-twos/output/output00.txt , challenges/ones-and-twos/input/input01.txt : challenges/ones-and-twos/output/output01.txt , challenges/ones-and-twos/input/input02.txt : challenges/ones-and-twos/output/output02.txt,,,,,
459,Dynamic Programming,Expert,challenges/count-scorecards/count-scorecards.pdf,challenges/count-scorecards/input/input00.txt : challenges/count-scorecards/output/output00.txt,,,,,,,
460,Dynamic Programming,Advanced,challenges/vim-war/vim-war.pdf,challenges/vim-war/input/input00.txt : challenges/vim-war/output/output00.txt,,,,,,,
461,Dynamic Programming,Advanced,challenges/best-spot/best-spot.pdf,challenges/best-spot/input/input00.txt : challenges/best-spot/output/output00.txt,,,,,,,
462,Dynamic Programming,Expert,challenges/divisible-numbers/divisible-numbers.pdf,challenges/divisible-numbers/input/input00.txt : challenges/divisible-numbers/output/output00.txt , challenges/divisible-numbers/input/input01.txt : challenges/divisible-numbers/output/output01.txt,,,,,,
463,Dynamic Programming,Advanced,challenges/unique-divide-and-conquer/unique-divide-and-conquer.pdf,challenges/unique-divide-and-conquer/input/input00.txt : challenges/unique-divide-and-conquer/output/output00.txt , challenges/unique-divide-and-conquer/input/input01.txt : challenges/unique-divide-and-conquer/output/output01.txt , challenges/unique-divide-and-conquer/input/input02.txt : challenges/unique-divide-and-conquer/output/output02.txt , challenges/unique-divide-and-conquer/input/input03.txt : challenges/unique-divide-and-conquer/output/output03.txt,,,,
464,Dynamic Programming,Expert,challenges/happy-king/happy-king.pdf,challenges/happy-king/input/input00.txt : challenges/happy-king/output/output00.txt,,,,,,,
465,Dynamic Programming,Advanced,challenges/dortmund-dilemma/dortmund-dilemma.pdf,challenges/dortmund-dilemma/input/input00.txt : challenges/dortmund-dilemma/output/output00.txt , challenges/dortmund-dilemma/input/input01.txt : challenges/dortmund-dilemma/output/output01.txt,,,,,,
466,Dynamic Programming,Advanced,challenges/super-kth-lis/super-kth-lis.pdf,challenges/super-kth-lis/input/input00.txt : challenges/super-kth-lis/output/output00.txt , challenges/super-kth-lis/input/input01.txt : challenges/super-kth-lis/output/output01.txt,,,,,,
467,Dynamic Programming,Expert,challenges/count-ways-1/count-ways-1.pdf,challenges/count-ways-1/input/input00.txt : challenges/count-ways-1/output/output00.txt,,,,,,,
468,Dynamic Programming,Expert,challenges/hard-drive-disks/hard-drive-disks.pdf,challenges/hard-drive-disks/input/input00.txt : challenges/hard-drive-disks/output/output00.txt,,,,,,,
469,Dynamic Programming,Expert,challenges/separate-the-chocolate/separate-the-chocolate.pdf,challenges/separate-the-chocolate/input/input00.txt : challenges/separate-the-chocolate/output/output00.txt,,,,,,,
470,Bit Manipulation,Easy,challenges/lonely-integer/lonely-integer.pdf,challenges/lonely-integer/input/input00.txt : challenges/lonely-integer/output/output00.txt , challenges/lonely-integer/input/input01.txt : challenges/lonely-integer/output/output01.txt , challenges/lonely-integer/input/input02.txt : challenges/lonely-integer/output/output02.txt,,,,,
471,Bit Manipulation,Easy,challenges/maximizing-xor/maximizing-xor.pdf,challenges/maximizing-xor/input/input11.txt : challenges/maximizing-xor/output/output11.txt , challenges/maximizing-xor/input/input13.txt : challenges/maximizing-xor/output/output13.txt,,,,,,
472,Bit Manipulation,Medium,challenges/counter-game/counter-game.pdf,challenges/counter-game/input/input00.txt : challenges/counter-game/output/output00.txt,,,,,,,
473,Bit Manipulation,Medium,challenges/xor-se/xor-se.pdf,challenges/xor-se/input/input00.txt : challenges/xor-se/output/output00.txt , challenges/xor-se/input/input21.txt : challenges/xor-se/output/output21.txt,,,,,,
474,Bit Manipulation,Easy,challenges/sum-vs-xor/sum-vs-xor.pdf,challenges/sum-vs-xor/input/input00.txt : challenges/sum-vs-xor/output/output00.txt , challenges/sum-vs-xor/input/input11.txt : challenges/sum-vs-xor/output/output11.txt,,,,,,
475,Bit Manipulation,Medium,challenges/the-great-xor/the-great-xor.pdf,challenges/the-great-xor/input/input10.txt : challenges/the-great-xor/output/output10.txt , challenges/the-great-xor/input/input11.txt : challenges/the-great-xor/output/output11.txt,,,,,,
476,Bit Manipulation,Easy,challenges/flipping-bits/flipping-bits.pdf,challenges/flipping-bits/input/input00.txt : challenges/flipping-bits/output/output00.txt , challenges/flipping-bits/input/input10.txt : challenges/flipping-bits/output/output10.txt , challenges/flipping-bits/input/input11.txt : challenges/flipping-bits/output/output11.txt,,,,,
477,Bit Manipulation,Medium,challenges/yet-another-minimax-problem/yet-another-minimax-problem.pdf,challenges/yet-another-minimax-problem/input/input00.txt : challenges/yet-another-minimax-problem/output/output00.txt , challenges/yet-another-minimax-problem/input/input01.txt : challenges/yet-another-minimax-problem/output/output01.txt,,,,,,
478,Bit Manipulation,Medium,challenges/sansa-and-xor/sansa-and-xor.pdf,challenges/sansa-and-xor/input/input00.txt : challenges/sansa-and-xor/output/output00.txt , challenges/sansa-and-xor/input/input13.txt : challenges/sansa-and-xor/output/output13.txt,,,,,,
479,Bit Manipulation,Medium,challenges/and-product/and-product.pdf,challenges/and-product/input/input00.txt : challenges/and-product/output/output00.txt , challenges/and-product/input/input20.txt : challenges/and-product/output/output20.txt,,,,,,
480,Bit Manipulation,Medium,challenges/winning-lottery-ticket/winning-lottery-ticket.pdf,challenges/winning-lottery-ticket/input/input00.txt : challenges/winning-lottery-ticket/output/output00.txt,,,,,,,
481,Bit Manipulation,Hard,challenges/xoring-ninja/xoring-ninja.pdf,challenges/xoring-ninja/input/input00.txt : challenges/xoring-ninja/output/output00.txt , challenges/xoring-ninja/input/input01.txt : challenges/xoring-ninja/output/output01.txt,,,,,,
482,Bit Manipulation,Medium,challenges/cipher/cipher.pdf,challenges/cipher/input/input00.txt : challenges/cipher/output/output00.txt , challenges/cipher/input/input01.txt : challenges/cipher/output/output01.txt , challenges/cipher/input/input12.txt : challenges/cipher/output/output12.txt,,,,,
483,Bit Manipulation,Hard,challenges/xor-matrix/xor-matrix.pdf,challenges/xor-matrix/input/input00.txt : challenges/xor-matrix/output/output00.txt,,,,,,,
484,Bit Manipulation,Medium,challenges/whats-next/whats-next.pdf,challenges/whats-next/input/input00.txt : challenges/whats-next/output/output00.txt,,,,,,,
485,Bit Manipulation,Hard,challenges/string-transmission/string-transmission.pdf,challenges/string-transmission/input/input10.txt : challenges/string-transmission/output/output10.txt,,,,,,,
486,Bit Manipulation,Hard,challenges/manipulative-numbers/manipulative-numbers.pdf,challenges/manipulative-numbers/input/input00.txt : challenges/manipulative-numbers/output/output00.txt , challenges/manipulative-numbers/input/input01.txt : challenges/manipulative-numbers/output/output01.txt,,,,,,
487,Bit Manipulation,Hard,challenges/stonegame/stonegame.pdf,challenges/stonegame/input/input00.txt : challenges/stonegame/output/output00.txt , challenges/stonegame/input/input01.txt : challenges/stonegame/output/output01.txt,,,,,,
488,Bit Manipulation,Advanced,challenges/2s-complement/2s-complement.pdf,challenges/2s-complement/input/input00.txt : challenges/2s-complement/output/output00.txt , challenges/2s-complement/input/input10.txt : challenges/2s-complement/output/output10.txt,,,,,,
489,Bit Manipulation,Advanced,challenges/changing-bits/changing-bits.pdf,challenges/changing-bits/input/input00.txt : challenges/changing-bits/output/output00.txt,,,,,,,
490,Bit Manipulation,Advanced,challenges/xor-key/xor-key.pdf,challenges/xor-key/input/input00.txt : challenges/xor-key/output/output00.txt,,,,,,,
491,Bit Manipulation,Hard,challenges/maximizing-the-function/maximizing-the-function.pdf,challenges/maximizing-the-function/input/input00.txt : challenges/maximizing-the-function/output/output00.txt,,,,,,,
492,Bit Manipulation,Advanced,challenges/xor-subsequence/xor-subsequence.pdf,challenges/xor-subsequence/input/input20.txt : challenges/xor-subsequence/output/output20.txt,,,,,,,
493,Bit Manipulation,Expert,challenges/iterate-it/iterate-it.pdf,challenges/iterate-it/input/input00.txt : challenges/iterate-it/output/output00.txt,,,,,,,
494,Bit Manipulation,Expert,challenges/hamming-distance/hamming-distance.pdf,challenges/hamming-distance/input/input00.txt : challenges/hamming-distance/output/output00.txt,,,,,,,
495,Bit Manipulation,Hard,challenges/pmix/pmix.pdf,challenges/pmix/input/input00.txt : challenges/pmix/output/output00.txt,,,,,,,
496,Recursion,Medium,challenges/the-power-sum/the-power-sum.pdf,challenges/the-power-sum/input/input00.txt : challenges/the-power-sum/output/output00.txt , challenges/the-power-sum/input/input01.txt : challenges/the-power-sum/output/output01.txt , challenges/the-power-sum/input/input02.txt : challenges/the-power-sum/output/output02.txt,,,,,
